Zone_Number,Occupancy_Rate_Percent,Total_Readings
7458.0,100.0,4
7428.0,100.0,2
7591.0,100.0,1
7532.0,100.0,9
7645.0,100.0,8
7274.0,100.0,2
7644.0,100.0,4
7533.0,100.0,5
7014.0,100.0,4
7413.0,100.0,3
7320.0,100.0,13
7635.0,100.0,4
7542.0,100.0,7
7401.0,100.0,3
7400.0,100.0,5
7545.0,100.0,1
7336.0,100.0,5
7614.0,100.0,15
7476.0,100.0,2
7612.0,100.0,5
7377.0,100.0,1
7363.0,100.0,3
7350.0,100.0,6
7360.0,100.0,5
7355.0,100.0,10
7425.0,100.0,3
7527.0,100.0,7
7660.0,100.0,2
7705.0,100.0,7
7779.0,100.0,3
7019.0,100.0,1
7772.0,100.0,3
7487.0,100.0,3
7764.0,100.0,4
7495.0,100.0,4
7089.0,100.0,7
7500.0,100.0,3
7096.0,100.0,3
7510.0,100.0,6
7189.0,100.0,3
7706.0,100.0,1
7507.0,100.0,7
7241.0,100.0,5
7244.0,100.0,1
7696.0,100.0,3
7692.0,100.0,2
7254.0,100.0,5
7508.0,100.0,2
7708.0,95.24,21
7239.0,94.12,17
7556.0,93.94,33
7594.0,93.75,16
7253.0,93.33,15
7592.0,91.3,23
7551.0,90.91,22
7538.0,90.91,11
7280.0,90.0,10
7010.0,88.89,9
7639.0,88.89,18
7596.0,88.89,9
7636.0,88.89,9
7406.0,88.24,17
7258.0,87.5,24
7766.0,86.67,15
7570.0,86.49,37
7603.0,85.71,7
7451.0,85.71,7
7402.0,83.33,6
7763.0,83.33,6
7568.0,83.33,6
7557.0,83.33,6
7625.0,83.33,6
7416.0,83.33,6
7359.0,82.61,23
7634.0,81.82,22
7366.0,81.82,11
7297.0,81.82,11
7512.0,80.0,5
7455.0,80.0,5
7726.0,80.0,5
7335.0,80.0,5
7697.0,80.0,5
7343.0,80.0,10
7630.0,80.0,10
7647.0,78.57,14
7269.0,76.92,13
7595.0,76.92,13
7571.0,76.47,34
7547.0,76.0,25
7648.0,75.0,8
7659.0,75.0,4
7689.0,75.0,4
7505.0,75.0,4
7642.0,75.0,4
7627.0,75.0,4
7631.0,75.0,4
7534.0,75.0,12
7411.0,75.0,4
7457.0,75.0,4
7379.0,75.0,4
7436.0,75.0,8
7190.0,73.33,15
7474.0,72.73,11
7498.0,72.73,11
7549.0,72.73,22
7548.0,72.73,11
7333.0,72.73,11
7362.0,72.22,18
7434.0,71.43,7
7423.0,71.43,7
7264.0,71.43,7
7638.0,70.59,17
7417.0,70.0,10
7593.0,66.67,3
7607.0,66.67,3
7780.0,66.67,3
7553.0,66.67,3
7339.0,66.67,6
7415.0,66.67,3
7628.0,66.67,9
7478.0,66.67,3
7479.0,66.67,3
7358.0,66.67,6
7399.0,66.67,3
7577.0,66.67,6
7695.0,66.67,3
7739.0,66.67,21
7537.0,66.67,21
7727.0,66.67,6
7331.0,66.67,3
7637.0,66.67,3
7303.0,66.67,3
7259.0,66.67,6
7522.0,66.67,3
7952.0,66.67,3
7643.0,66.67,3
7506.0,66.67,9
7646.0,66.67,3
7494.0,66.67,3
7278.0,65.38,26
7265.0,64.71,17
7605.0,64.71,17
7561.0,62.5,8
7236.0,62.5,24
7610.0,62.5,24
7674.0,61.9,21
7649.0,60.87,23
7329.0,60.0,5
7948.0,60.0,5
7922.0,60.0,10
7412.0,60.0,5
7452.0,60.0,5
7626.0,60.0,5
7076.0,57.89,19
7529.0,57.14,7
7770.0,57.14,7
7923.0,57.14,35
7273.0,57.14,14
7485.0,57.14,14
7550.0,54.55,11
7344.0,54.55,11
7301.0,53.85,13
7712.0,52.63,19
7579.0,50.0,4
7266.0,50.0,2
7936.0,50.0,4
7536.0,50.0,2
7539.0,50.0,6
7365.0,50.0,10
7718.0,50.0,2
7572.0,50.0,4
7334.0,50.0,8
7394.0,50.0,10
7716.0,50.0,26
7765.0,50.0,2
7509.0,50.0,2
7615.0,50.0,2
7951.0,50.0,2
7719.0,50.0,2
7611.0,50.0,4
7608.0,50.0,2
7260.0,50.0,4
7606.0,50.0,2
7497.0,50.0,2
7454.0,50.0,4
7347.0,50.0,4
7676.0,50.0,2
7502.0,50.0,4
7245.0,47.06,17
7528.0,44.44,9
7247.0,43.75,32
7938.0,42.86,7
7569.0,42.86,7
7418.0,42.86,7
7721.0,42.22,45
7345.0,41.18,17
7993.0,40.0,20
7354.0,40.0,5
7389.0,40.0,5
7486.0,40.0,5
7949.0,40.0,5
7740.0,40.0,5
7748.0,37.5,16
7025.0,37.5,8
7566.0,37.5,48
7552.0,37.5,8
7640.0,37.5,8
7985.0,35.71,14
7769.0,33.33,6
7356.0,33.33,9
7357.0,33.33,3
7018.0,33.33,3
7690.0,33.33,3
7488.0,33.33,3
7554.0,33.33,3
7084.0,33.33,27
7459.0,33.33,3
7623.0,33.33,3
7275.0,33.33,3
7332.0,33.33,3
7621.0,30.77,13
7752.0,30.0,10
7558.0,28.57,7
7514.0,27.27,11
7686.0,25.0,4
7576.0,25.0,4
7924.0,23.53,17
7081.0,20.0,5
7560.0,20.0,5
7768.0,20.0,10
7575.0,20.0,5
7159.0,20.0,5
7340.0,20.0,5
7633.0,20.0,5
7559.0,16.67,6
7981.0,13.33,30
7988.0,11.11,9
7624.0,10.0,10
7519.0,0.0,1
7480.0,0.0,2
7986.0,0.0,5
7503.0,0.0,5
7450.0,0.0,5
7446.0,0.0,2
7431.0,0.0,1
7090.0,0.0,1
7939.0,0.0,12
7672.0,0.0,3
7520.0,0.0,7
7762.0,0.0,3
7541.0,0.0,5
7396.0,0.0,3
7792.0,0.0,2
7392.0,0.0,14
7183.0,0.0,5
7563.0,0.0,8
7767.0,0.0,4
7622.0,0.0,2
7995.0,0.0,1
