S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,2015,2016,2017,2018,2019,2020,2021
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,3849.0,3950.0,4039.0,4140.0,4211.0,4273.0,4330.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,8603.0,8531.0,8526.0,8507.0,8488.0,8519.0,8546.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,11213.0,11230.0,11355.0,11447.0,11450.0,11437.0,11370.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,4961.0,4970.0,5013.0,5072.0,5117.0,5077.0,5093.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,13164.0,13150.0,13083.0,13008.0,12935.0,12796.0,12743.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,937.0,1613.0,2589.0,3453.0,4484.0,5448.0,6245.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,15681.0,15678.0,15766.0,15919.0,16048.0,16267.0,16523.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,2428.0,2420.0,2424.0,2431.0,2445.0,2454.0,2449.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,6887.0,6870.0,6866.0,6873.0,6865.0,6829.0,6760.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,3314.0,3327.0,3333.0,3349.0,3372.0,3415.0,3460.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,7020.0,7071.0,7227.0,7389.0,7560.0,7769.0,8044.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,7829.0,7871.0,8000.0,8135.0,8276.0,8470.0,8587.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,8519.0,8510.0,8563.0,8611.0,8666.0,8757.0,8905.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,8540.0,8593.0,8647.0,8684.0,8742.0,8805.0,8846.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,8971.0,8952.0,9042.0,9141.0,9228.0,9360.0,9527.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,3275.0,3341.0,3409.0,3489.0,3580.0,3679.0,3771.0
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,32.0,25.0,28.0,31.0,35.0,38.0,41.0
